Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index
2,69,No,8,0,46
2,74,No,5,1,48
5,97,Yes,7,3,83
5,45,No,5,6,30
9,82,No,7,3,79
9,43,Yes,8,8,42
8,84,No,5,8,77
4,49,Yes,7,0,31
3,84,Yes,4,6,65
6,85,No,4,3,72
6,60,Yes,6,8,48
7,49,No,6,6,37
1,95,Yes,8,1,69
2,78,Yes,8,4,55
1,93,No,6,2,66
3,80,No,7,7,60
9,43,Yes,9,8,42
4,90,No,8,0,72
5,91,Yes,7,7,76
9,78,Yes,8,3,76
3,47,Yes,4,7,27
9,67,No,4,4,62
8,94,Yes,5,7,87
8,73,No,4,9,66
2,65,Yes,7,4,41
8,76,No,9,3,71
8,53,Yes,6,3,47
9,56,No,4,3,52
7,79,No,9,0,71
5,58,No,6,3,42
9,76,Yes,8,1,75
5,41,No,7,2,25
2,49,No,6,3,25
6,74,No,8,9,63
7,63,No,6,1,52
9,56,Yes,5,4,53
2,79,No,8,5,56
6,41,Yes,4,7,28
4,45,No,5,4,24
4,60,Yes,8,2,43
1,94,Yes,4,7,68
1,68,No,6,8,41
6,46,No,6,2,35
3,72,Yes,9,2,53
6,87,No,7,1,75
2,92,Yes,5,9,71
2,63,Yes,6,7,42
4,65,No,4,4,46
1,86,No,5,4,60
7,99,Yes,8,8,93
4,41,No,7,4,24
3,60,Yes,8,1,39
3,53,No,6,5,33
1,81,Yes,6,7,56
2,83,Yes,9,1,61
8,58,No,6,6,53
5,84,Yes,6,8,70
2,52,Yes,8,9,31
3,61,No,6,6,42
3,95,No,6,1,76
7,83,Yes,5,6,76
1,99,No,9,7,75
9,74,Yes,7,9,72
1,53,Yes,9,5,29
6,52,Yes,7,5,40
6,86,No,7,2,74
1,53,No,5,0,26
2,90,No,8,1,67
9,75,Yes,6,7,72
6,40,Yes,4,9,27
2,92,Yes,7,4,69
8,50,Yes,4,5,45
3,66,No,8,8,45
9,61,Yes,9,9,60
9,85,Yes,7,6,83
9,88,Yes,8,5,85
2,85,Yes,9,1,62
8,49,No,5,6,44
8,63,Yes,5,0,58
4,48,Yes,9,6,33
4,56,Yes,5,1,40
6,77,No,6,4,66
6,79,No,8,3,66
6,76,Yes,5,7,67
7,45,No,8,4,36
9,60,Yes,9,7,60
3,75,No,8,1,57
4,75,No,9,9,60
8,64,No,5,7,59
7,50,No,7,7,41
3,84,No,6,6,62
3,87,Yes,8,5,69
1,96,No,7,5,71
4,75,Yes,9,7,57
4,42,Yes,7,0,24
2,48,No,7,1,25
4,47,No,6,0,29
6,77,Yes,8,9,67
7,43,Yes,9,2,37
5,81,Yes,5,3,66
5,43,No,7,9,29
8,83,No,9,5,79
9,43,No,4,4,38
8,48,Yes,4,0,39
4,51,Yes,9,0,33
7,94,No,9,1,86
4,47,Yes,8,9,31
4,59,Yes,8,2,43
9,78,Yes,6,7,78
5,74,Yes,6,5,60
1,88,Yes,4,5,63
8,96,Yes,5,9,90
4,98,Yes,9,6,84
2,95,No,4,2,73
9,46,Yes,4,2,41
5,70,No,4,4,56
4,57,Yes,9,4,39
7,53,No,6,8,44
3,78,Yes,6,9,57
5,98,Yes,8,7,84
3,76,Yes,9,8,58
5,48,No,9,3,36
8,59,No,4,9,52
9,96,No,6,8,93
2,67,Yes,7,2,44
7,92,No,9,1,85
6,66,Yes,6,3,54
4,47,No,8,6,30
7,96,Yes,7,2,87
8,71,No,9,6,68
5,48,Yes,7,7,33
6,69,No,9,7,59
7,40,Yes,4,8,31
1,44,No,8,6,18
8,74,Yes,5,6,69
8,53,No,7,5,47
4,69,No,4,0,51
1,43,No,9,0,17
1,46,Yes,5,5,21
9,52,Yes,7,6,50
9,43,Yes,6,8,42
9,82,No,6,5,80
2,75,No,6,0,51
3,47,No,9,2,26
6,71,No,7,9,62
2,81,No,7,2,58
7,65,No,8,0,56
5,81,Yes,5,1,65
3,86,Yes,6,9,67
9,57,Yes,8,7,56
3,97,No,7,9,77
5,83,Yes,7,0,70
8,96,No,9,5,93
6,40,Yes,6,2,26
5,87,Yes,9,5,73
4,67,No,7,3,48
6,44,Yes,5,6,31
4,40,Yes,6,6,24
4,97,Yes,8,0,81
2,92,No,4,1,67
9,92,Yes,7,3,90
7,94,No,5,5,84
7,65,Yes,7,0,56
8,46,No,9,5,41
8,94,Yes,6,4,86
4,91,No,9,7,76
7,65,No,5,8,55
4,53,Yes,5,4,35
7,47,No,8,5,40
1,67,No,4,6,42
1,96,No,8,7,72
6,58,Yes,4,8,46
3,71,Yes,4,5,51
2,62,Yes,9,4,40
1,56,No,6,2,29
3,77,No,5,4,56
4,61,Yes,7,5,45
7,87,No,7,8,79
8,90,Yes,7,2,85
1,52,Yes,7,0,25
9,91,Yes,7,1,90
6,62,Yes,9,2,49
7,51,Yes,5,0,42
2,57,No,6,2,31
6,97,No,9,3,87
2,53,No,5,2,27
6,97,Yes,9,7,90
9,77,No,9,0,76
9,97,Yes,4,0,94
7,96,Yes,9,1,88
8,91,Yes,7,2,87
7,71,No,9,4,63
9,96,No,6,9,92
4,73,Yes,4,3,57
6,53,No,9,2,43
2,83,Yes,4,1,58
8,56,No,9,3,50
5,54,Yes,9,9,40
2,71,Yes,8,8,51
4,52,Yes,5,1,34
1,60,Yes,7,8,36
2,79,Yes,7,9,56
9,96,Yes,8,9,95
9,55,No,7,7,52
7,70,Yes,9,6,63
6,75,Yes,4,1,62
6,99,Yes,6,4,89
7,84,No,7,0,75
3,51,Yes,7,6,33
2,95,Yes,9,7,75
4,43,No,7,1,24
9,67,Yes,7,1,63
4,81,No,7,5,65
3,49,No,9,5,30
2,80,Yes,7,2,56
9,88,No,5,6,84
3,41,No,6,5,19
3,67,No,4,3,45
1,92,Yes,4,6,65
4,50,No,5,6,34
6,98,No,8,2,87
7,41,Yes,6,8,34
4,80,Yes,9,8,63
7,73,Yes,4,2,64
5,92,Yes,4,6,78
7,61,No,5,0,52
5,62,Yes,6,1,46
6,58,Yes,8,1,47
5,87,Yes,6,3,72
5,71,Yes,4,5,56
4,86,No,7,3,68
5,78,Yes,7,4,63
4,96,Yes,8,0,80
7,74,Yes,5,2,66
6,53,No,5,6,41
9,78,No,7,4,75
5,87,Yes,6,7,73
8,98,Yes,5,9,93
1,48,Yes,7,3,23
8,56,No,4,5,48
7,56,No,8,4,48
8,98,No,4,9,92
4,77,Yes,9,7,61
7,85,No,8,8,77
3,69,No,4,2,49
5,66,Yes,4,7,52
2,55,Yes,6,5,33
1,62,Yes,7,3,36
9,61,No,4,8,58
2,66,No,4,3,42
5,41,No,4,8,24
2,65,No,7,2,41
6,67,Yes,5,2,56
5,58,Yes,7,2,43
2,59,No,7,5,37
7,69,No,5,3,60
4,42,No,6,0,23
4,85,No,5,3,67
1,78,No,8,0,53
9,67,Yes,7,4,64
2,90,No,6,0,66
5,96,No,7,7,82
6,59,Yes,7,9,47
5,73,Yes,7,5,60
4,97,No,7,7,80
8,73,No,4,1,64
7,92,No,6,4,85
8,59,No,9,0,52
5,94,Yes,8,9,81
7,58,No,8,6,49
2,84,Yes,8,0,60
6,43,Yes,6,8,31
2,94,Yes,5,2,71
8,86,Yes,8,8,82
3,72,No,6,5,53
5,41,Yes,9,6,29
4,81,No,7,9,66
4,64,Yes,9,8,49
6,54,Yes,8,7,45
3,63,No,6,1,42
6,70,No,7,7,59
7,45,Yes,7,2,35
4,57,Yes,7,2,40
4,90,Yes,9,8,72
7,55,Yes,7,1,46
4,66,No,8,0,48
8,85,No,6,9,80
2,49,No,4,8,26
5,62,No,6,9,48
4,52,No,4,1,33
2,61,Yes,9,9,41
9,62,Yes,7,5,61
1,74,No,4,1,47
1,42,Yes,9,7,17
6,41,Yes,6,0,27
1,88,No,5,9,62
3,71,Yes,5,9,50
5,72,No,7,0,57
5,55,Yes,4,9,40
4,95,Yes,9,5,76
3,95,Yes,4,9,77
1,41,Yes,8,8,16
8,53,No,8,2,47
4,95,No,9,6,78
9,94,Yes,7,5,94
7,69,Yes,5,8,61
6,59,Yes,4,5,47
6,95,No,6,9,83
9,70,Yes,8,2,68
8,46,No,9,0,40
4,94,Yes,8,3,77
7,52,No,4,4,42
7,89,Yes,4,5,80
8,95,Yes,9,6,93
5,91,No,9,4,78
5,43,Yes,7,0,27
7,54,Yes,7,1,43
3,91,Yes,8,5,73
9,47,No,5,2,43
2,93,No,6,4,69
7,48,No,9,1,40
6,96,Yes,5,9,85
7,74,Yes,8,7,68
1,91,No,6,1,63
7,58,Yes,6,4,49
6,87,Yes,6,1,74
6,91,No,6,2,80
1,40,No,9,6,16
6,90,No,5,4,78
4,79,No,4,4,60
2,93,Yes,4,2,68
3,43,Yes,5,5,23
9,57,No,7,9,54
2,60,No,8,2,35
5,40,No,4,5,24
3,75,No,6,5,56
8,47,No,4,9,40
8,66,No,6,9,63
2,58,No,6,9,35
8,91,No,7,1,87
5,80,Yes,5,6,66
4,50,Yes,7,3,34
7,60,No,7,8,55
6,46,Yes,9,5,36
3,62,No,5,6,42
9,76,Yes,8,1,75
2,72,Yes,8,4,48
9,54,Yes,5,7,51
2,42,Yes,9,4,19
8,92,No,6,7,86
6,41,No,8,8,29
3,80,Yes,7,0,61
3,40,Yes,9,9,19
9,47,Yes,7,1,46
6,86,Yes,7,9,75
5,74,Yes,7,1,60
1,99,No,7,3,74
4,84,No,5,3,65
2,83,No,7,6,60
4,83,Yes,5,4,65
7,83,Yes,9,5,77
6,45,No,4,5,32
5,64,No,6,5,49
3,70,Yes,8,3,48
7,80,Yes,9,5,74
9,41,Yes,5,7,35
2,60,Yes,9,4,37
6,92,Yes,9,7,81
7,83,Yes,4,2,73
8,73,Yes,4,6,66
6,99,Yes,5,3,88
4,48,No,4,7,30
3,95,Yes,5,4,77
3,69,Yes,4,1,47
4,61,No,6,0,43
9,50,No,7,8,47
6,52,Yes,8,9,42
3,55,No,9,4,36
3,40,Yes,8,0,18
9,50,Yes,7,5,49
7,83,Yes,9,8,77
3,80,No,5,9,59
3,67,Yes,9,0,48
8,81,Yes,9,3,74
9,40,Yes,8,9,39
9,67,No,4,9,64
7,97,Yes,7,9,91
2,94,No,8,0,72
5,56,No,9,5,42
5,65,Yes,9,9,53
5,59,Yes,9,0,43
5,52,No,7,9,38
9,45,No,5,8,42
1,62,No,7,1,35
6,41,Yes,8,4,27
4,56,Yes,7,3,38
6,71,No,8,6,61
2,42,No,7,9,21
9,41,Yes,5,5,37
8,80,Yes,4,5,73
7,57,Yes,7,7,50
6,83,Yes,6,3,71
2,65,No,9,9,42
6,51,Yes,4,0,38
9,60,Yes,9,3,59
1,87,Yes,4,4,60
1,47,Yes,8,8,23
1,62,No,8,9,38
7,52,No,5,8,43
5,93,No,7,1,79
5,92,No,8,6,77
1,88,No,6,8,64
6,53,Yes,7,1,40
9,55,Yes,7,5,52
1,78,No,4,6,52
7,71,Yes,4,7,63
1,57,No,8,0,30
8,69,Yes,4,5,62
8,97,No,9,6,94
5,58,No,8,2,44
7,86,No,6,4,77
2,45,Yes,8,5,21
2,59,Yes,5,6,38
2,77,No,7,5,55
5,97,Yes,5,3,84
8,80,No,8,2,74
1,97,Yes,8,7,72
9,63,No,8,9,60
3,65,No,8,3,43
3,53,Yes,9,8,33
9,87,No,4,3,84
5,98,Yes,4,6,84
6,79,No,6,9,68
1,42,No,4,2,12
5,77,No,4,0,62
6,95,No,5,5,84
4,79,Yes,6,4,63
7,72,Yes,4,2,64
9,53,Yes,6,9,50
9,99,Yes,8,8,98
4,67,No,5,6,49
2,54,Yes,7,6,31
8,53,Yes,4,3,47
3,65,No,9,1,43
1,41,Yes,5,5,16
5,49,No,7,4,34
5,60,Yes,4,0,43
8,99,No,9,3,94
3,83,Yes,6,3,62
5,92,No,9,1,78
5,47,No,7,9,35
3,83,No,6,2,64
7,91,No,8,7,84
9,80,Yes,6,4,77
4,63,Yes,9,9,49
1,79,No,7,4,54
5,95,Yes,7,2,82
6,96,Yes,5,6,85
3,98,Yes,7,7,79
2,73,Yes,6,6,51
3,50,No,4,1,27
5,57,Yes,5,3,40
3,82,Yes,4,3,63
1,57,Yes,7,8,33
3,52,No,7,4,33
8,40,Yes,6,0,30
9,43,Yes,6,6,42
8,67,No,4,1,59
5,65,No,5,4,50
1,62,Yes,7,6,38
2,78,No,9,3,58
6,77,Yes,7,0,66
6,74,No,5,4,62
7,69,Yes,5,1,60
5,92,No,5,8,78
8,77,No,4,2,70
4,68,Yes,5,5,50
9,91,No,5,8,90
7,43,Yes,7,0,34
6,98,No,8,0,87
8,55,Yes,9,3,49
7,64,Yes,7,8,57
3,50,No,7,0,28
2,95,No,5,8,72
8,75,No,8,3,71
5,47,Yes,4,5,31
5,85,Yes,8,5,73
2,80,No,6,0,54
3,61,Yes,8,1,43
3,90,No,6,5,71
8,49,Yes,4,3,42
3,73,No,5,5,51
1,85,Yes,9,5,62
5,68,No,5,6,54
8,84,Yes,6,9,80
3,48,Yes,5,3,24
8,78,No,7,0,73
4,94,Yes,4,5,76
2,71,Yes,9,9,49
1,89,Yes,5,5,64
6,95,No,5,6,85
8,90,No,5,4,83
8,56,Yes,9,9,52
7,58,No,8,8,49
5,91,No,4,4,75
7,96,Yes,6,3,87
5,82,Yes,4,6,69
9,69,Yes,5,9,66
4,81,Yes,8,1,62
8,51,Yes,4,9,46
4,52,No,5,3,33
5,91,No,4,4,75
6,59,No,9,0,49
7,76,Yes,7,7,68
9,98,Yes,4,8,97
5,60,No,9,2,44
4,64,No,8,6,48
2,65,Yes,8,1,42
5,40,Yes,8,9,28
9,83,No,8,9,85
8,45,Yes,9,7,40
7,67,Yes,8,6,61
7,84,No,6,0,74
4,69,No,8,5,55
3,57,No,6,3,35
5,66,No,6,8,51
2,60,Yes,6,5,38
3,99,No,8,8,80
7,79,Yes,9,6,73
9,54,Yes,4,4,50
5,91,No,6,3,76
1,57,No,8,3,32
7,94,Yes,4,2,84
2,76,Yes,9,8,53
9,99,Yes,5,7,97
2,91,No,8,2,67
6,59,No,9,5,48
8,40,No,4,3,29
1,60,No,9,5,36
4,62,No,7,1,44
3,93,Yes,9,5,75
5,58,Yes,8,8,47
1,67,No,9,3,40
6,70,No,8,5,60
1,70,No,9,4,45
8,61,No,8,9,56
6,84,Yes,4,5,71
9,48,Yes,9,3,45
2,91,No,9,2,68
5,48,Yes,7,0,33
9,55,No,7,2,52
1,71,No,7,7,45
4,53,No,8,9,37
7,47,No,8,7,40
8,85,Yes,6,8,82
1,82,No,8,7,59
7,95,Yes,5,6,87
9,67,No,5,9,64
8,85,No,7,2,78
6,87,No,5,3,72
8,59,Yes,4,7,53
9,72,No,9,0,69
8,41,Yes,5,1,33
9,56,No,7,9,55
7,91,No,4,3,82
8,76,Yes,4,6,70
6,56,Yes,6,4,45
1,77,No,4,4,51
7,74,Yes,6,7,66
9,86,No,6,6,84
1,74,Yes,7,4,47
4,97,No,5,9,81
6,96,No,9,1,86
8,48,No,9,6,41
1,67,Yes,8,5,42
4,75,No,8,6,58
9,97,No,6,6,95
1,84,No,9,6,59
6,89,Yes,5,2,78
6,89,Yes,8,8,79
2,73,Yes,4,8,49
6,70,Yes,7,6,58
6,87,Yes,9,2,75
4,68,Yes,9,7,51
8,58,No,5,3,52
9,66,Yes,4,7,64
7,67,No,8,0,59
6,63,Yes,6,2,52
1,74,Yes,6,5,47
5,43,No,6,0,27
1,46,No,8,8,20
2,61,No,4,8,39
6,61,Yes,4,3,49
6,93,No,8,9,85
4,95,Yes,8,3,80
8,76,No,5,8,68
2,55,No,5,7,32
5,67,No,8,0,53
3,82,No,5,8,62
1,40,No,9,2,15
3,47,No,7,4,25
4,96,No,7,3,78
4,58,No,4,9,40
5,89,No,9,7,75
4,44,Yes,6,8,29
1,98,Yes,5,2,73
2,73,Yes,8,7,52
6,91,Yes,4,3,79
9,54,Yes,9,2,52
4,81,Yes,6,3,64
7,56,Yes,8,2,48
7,92,Yes,8,4,85
4,46,No,7,4,27
1,66,Yes,4,2,41
8,68,No,8,7,64
2,46,No,9,1,24
8,82,No,8,3,77
2,58,Yes,5,9,35
5,79,No,4,3,64
4,45,Yes,7,0,26
7,64,Yes,8,6,57
9,79,Yes,8,9,79
6,61,No,7,4,49
5,56,No,8,2,42
8,61,Yes,6,6,56
7,73,Yes,9,5,65
7,47,No,7,6,39
5,84,Yes,9,8,72
3,63,Yes,5,2,40
4,99,No,8,4,84
9,66,No,8,5,65
2,78,Yes,8,0,56
6,71,Yes,8,7,61
4,67,Yes,4,8,49
8,67,Yes,5,4,61
5,65,No,7,2,50
7,42,Yes,6,3,33
2,40,Yes,6,8,18
9,44,No,5,8,39
4,78,No,7,5,62
5,74,Yes,5,9,59
5,88,Yes,8,5,73
6,55,Yes,4,7,42
7,65,No,9,7,58
9,64,Yes,9,5,63
9,86,No,5,2,83
9,54,No,8,0,51
1,49,Yes,8,6,24
1,40,Yes,7,6,14
7,73,No,4,0,66
8,62,No,9,8,58
3,82,No,5,6,62
9,64,No,4,3,60
3,52,Yes,8,6,33
4,72,Yes,7,0,57
4,81,No,4,1,60
7,71,Yes,5,0,62
3,79,Yes,6,0,58
8,83,No,4,1,75
3,80,No,8,7,60
3,81,No,5,8,61
2,49,Yes,6,7,25
1,68,No,8,3,41
5,56,No,7,8,42
6,65,No,4,3,52
6,60,Yes,7,5,48
8,56,Yes,6,7,51
2,79,Yes,6,2,55
5,79,Yes,9,1,64
7,88,Yes,6,0,79
8,41,Yes,6,8,35
4,98,Yes,9,4,82
9,87,No,7,3,87
6,51,No,5,2,36
1,55,Yes,7,1,28
6,42,No,8,6,28
6,97,No,5,4,85
2,60,No,4,9,37
2,61,No,5,1,38
6,68,Yes,4,5,56
3,48,Yes,7,0,25
9,92,Yes,4,2,89
1,93,No,8,5,68
8,65,Yes,8,4,58
4,45,No,9,1,26
9,87,No,7,7,84
1,50,No,4,6,23
1,49,No,5,7,24
4,86,No,4,2,67
9,73,No,7,0,68
4,70,Yes,9,2,55
3,51,Yes,9,2,32
1,90,No,5,6,63
4,83,No,4,9,65
9,55,No,8,8,54
6,42,No,9,7,30
3,97,No,9,0,78
4,64,No,7,1,45
5,74,No,8,4,61
9,74,Yes,6,5,70
4,61,No,6,4,44
9,76,Yes,5,2,73
9,74,No,4,8,70
4,84,No,9,7,68
